Profile_Id,Profile_Name,Profile_Link
69,Saif Faris Ahmad Alatrash,https://pureportal.coventry.ac.uk/en/persons/saif-faris-ahmad-alatrash
70,Nahla Juma Khamis Al Balushi,https://pureportal.coventry.ac.uk/en/persons/nahla-juma-khamis-al-balushi
71,Ammar Al Bazi,https://pureportal.coventry.ac.uk/en/persons/ammar-al-bazi
72,Amna Mohammad Hassan Ibrahim Alblooshi,https://pureportal.coventry.ac.uk/en/persons/amna-mohammad-hassan-ibrahim-alblooshi
73,Reda Al-Bodour,https://pureportal.coventry.ac.uk/en/persons/reda-al-bodour
74,Robert Aldham,https://pureportal.coventry.ac.uk/en/persons/robert-aldham
75,Tim Aldsworth,https://pureportal.coventry.ac.uk/en/persons/tim-aldsworth
76,Svetlana Aleksandrova,https://pureportal.coventry.ac.uk/en/persons/svetlana-aleksandrova
77,Haitham Alfannah,https://pureportal.coventry.ac.uk/en/persons/haitham-alfannah
78,Kholoud Mashour S Al Garni,https://pureportal.coventry.ac.uk/en/persons/kholoud-mashour-s-al-garni
79,Salem Alhababsah,https://pureportal.coventry.ac.uk/en/persons/salem-alhababsah
80,Alaa Alhaj Ismail,https://pureportal.coventry.ac.uk/en/persons/alaa-alhaj-ismail
81,Hesham Ali,https://pureportal.coventry.ac.uk/en/persons/hesham-ali
82,Mustafa Ali,https://pureportal.coventry.ac.uk/en/persons/mustafa-ali
83,Rashid Ali,https://pureportal.coventry.ac.uk/en/persons/rashid-ali
84,Reza Ali,https://pureportal.coventry.ac.uk/en/persons/reza-ali
85,Taher Mabkhut Ali Al Junaibi,https://pureportal.coventry.ac.uk/en/persons/taher-mabkhut-ali-al-junaibi
86,Hajar Al-Kaddo,https://pureportal.coventry.ac.uk/en/persons/hajar-al-kaddo
87,Mabel Alkali,https://pureportal.coventry.ac.uk/en/persons/mabel-alkali
88,Khaled Al Khudir,https://pureportal.coventry.ac.uk/en/persons/khaled-al-khudir
89,Amira Iqbal Ali Al Lawati,https://pureportal.coventry.ac.uk/en/persons/amira-iqbal-ali-al-lawati
90,John Allen,https://pureportal.coventry.ac.uk/en/persons/john-allen
91,Laura Allen,https://pureportal.coventry.ac.uk/en/persons/laura-allen-2
92,Ashraf Al Mamari,https://pureportal.coventry.ac.uk/en/persons/ashraf-al-mamari
93,Sayeda Mubarak Ali Mubarak Almansoori,https://pureportal.coventry.ac.uk/en/persons/sayeda-mubarak-ali-mubarak-almansoori
94,Khulood Almarzooqi,https://pureportal.coventry.ac.uk/en/persons/khulood-almarzooqi
95,Suhaib Almarzooqi,https://pureportal.coventry.ac.uk/en/persons/suhaib-almarzooqi
96,Jamal Al Masrouri,https://pureportal.coventry.ac.uk/en/persons/jamal-al-masrouri
97,Bader Mohammed Saif Mohammed Almentheri,https://pureportal.coventry.ac.uk/en/persons/bader-mohammed-saif-mohammed-almentheri
98,Abdulla Rashed Sultan Bin Qaba Almheiri,https://pureportal.coventry.ac.uk/en/persons/abdulla-rashed-sultan-bin-qaba-almheiri
99,Tariq Al Montaser,https://pureportal.coventry.ac.uk/en/persons/tariq-al-montaser
100,Eman Abdulla Abdulrahman Abdulrahim Almulla,https://pureportal.coventry.ac.uk/en/persons/eman-abdulla-abdulrahman-abdulrahim-almulla
101,Khaled Nagi Hussin Alosaimi,https://pureportal.coventry.ac.uk/en/persons/khaled-nagi-hussin-alosaimi
102,Mansour Qubeissi,https://pureportal.coventry.ac.uk/en/persons/m-al-qubeissi
